id,ciudad,zona,latitud,longitud
53,CALI,Norte,3.490407018,-76.52269703
54,CALI,Norte,3.491032611,-76.52282688
55,CALI,Sur,3.35070666,-76.54380397
56,CALI,Sur,3.36622449,-76.51595047
57,CALI,Sur,3.36622449,-76.51595047
58,CALI,Sur,3.359775143,-76.51896496
59,CALI,Sur,3.359775143,-76.51896496
60,CALI,Sur,3.345999292,-76.53455874
61,CALI,Sur,3.345999292,-76.53455874
62,CALI,Sur,3.419896001,-76.54557391
63,CALI,Sur,3.348430382,-76.54299388
64,CALI,Sur,3.348430382,-76.54299388
65,CALI,Oeste,3.44671473,-76.55756197
66,CALI,Sur,3.301283495,-76.55891705
67,CALI,Sur,3.301283495,-76.55891705
68,CALI,Sur,3.3574,-76.57076
69,CALI,Sur,3.3574,-76.57076
70,CALI,Sur,3.35750978,-76.53483933
71,CALI,Sur,3.35750978,-76.53483933
72,CALI,Oeste,3.459867752,-76.56184378
73,CALI,Oeste,3.446594096,-76.5470307
74,CALI,Oeste,3.438171898,-76.54777734
75,CALI,Sur,3.354820364,-76.51561228
76,CALI,Sur,3.366798403,-76.50713064
77,CALI,Sur,3.366798403,-76.50713064
78,CALI,Sur,3.367215738,-76.51600983
79,CALI,Sur,3.367215738,-76.51600983
80,CALI,Sur,3.347247741,-76.51649528
81,CALI,Sur,3.347247741,-76.51649528
82,CALI,Sur,3.326077685,-76.54873423
83,CALI,Sur,3.326077685,-76.54873423
84,CALI,Sur,3.35948,-76.53534
85,CALI,Sur,3.35948,-76.53534
86,CALI,Oeste,3.45746,-76.55293
87,CALI,Oeste,3.432607806,-76.54968781
88,CALI,Sur,3.363498631,-76.54268493
89,CALI,Sur,3.363498631,-76.54268493
90,CALI,Oeste,3.434661933,-76.54934537
91,CALI,Sur,3.354811938,-76.53478075
92,CALI,Sur,3.354811938,-76.53478075
93,CALI,Oeste,3.45701843,-76.55657123
94,CALI,Norte,3.456366384,-76.53811548
95,CALI,Sur,3.357291404,-76.53077353
96,CALI,Sur,3.357291404,-76.53077353
97,CALI,Sur,3.382053188,-76.51080408
